Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),Sum
 01/01  01:00:00,860.9725791,94.71476999,500.2016819,0,34.96165543,113.3127805,554.3108644,539.9406492,5.664669961,8.705545258,2712.785196
 01/01  02:00:00,860.9739176,94.71476999,500.5359101,0,34.96165543,113.3127805,567.252669,544.1965355,5.664669961,17.39146358,2739.004372
 01/01  03:00:00,857.4030626,94.71476999,497.9784545,0,34.96165543,113.3127805,563.058327,548.6878636,5.664669961,8.705793395,2724.487377
 01/01  04:00:00,854.0954407,94.71476999,495.3355267,0,34.96165543,113.3127805,577.4762589,554.419772,5.664669961,17.39181691,2747.372691
 01/01  05:00:00,861.8164671,94.71476999,493.2057553,0,44.49376632,113.3127805,561.9584593,547.5878339,5.664669961,8.70595547,2731.460458
 01/01  06:00:00,859.9529367,94.71476999,491.7400424,0,44.49376632,113.3127805,581.6379131,550.0841162,14.1616749,17.392122,2767.490122
 01/01  07:00:00,931.7397086,94.71476999,491.0418424,0,54.02587722,176.8892702,522.1039368,485.0744758,28.3233498,8.706111227,2792.619342
 01/01  08:00:00,923.2198994,94.71476999,490.467025,0,54.02587722,184.3865456,535.7162797,475.8388321,42.48502471,17.39242293,2818.246677
 01/01  09:00:00,1007.630693,94.71476999,493.5338943,0,65.15725541,220.0431645,518.4569225,444.3498717,56.64669961,17.46035116,2917.993623
 01/01  10:00:00,1007.115943,94.71476999,498.9303226,0,65.15725541,212.5458892,487.6405855,427.6198953,42.48502471,17.53566555,2853.745351
 01/01  11:00:00,1018.348938,94.71476999,502.1324118,0,65.15725541,220.0431645,511.1776765,413.9728689,70.80837451,26.39643312,2922.751893
 01/01  12:00:00,1021.396493,94.71476999,503.4285261,0,65.15725541,220.0431645,503.5986346,406.3916672,70.80837451,26.39859293,2911.937478
 01/01  13:00:00,1012.167384,94.71476999,494.3095872,0,65.15725541,220.0431645,496.8617806,399.6538326,70.80837451,26.39957342,2880.115722
 01/01  14:00:00,989.1085667,94.71476999,477.2157887,0,65.15725541,212.5458892,469.0286597,385.9833924,56.64669961,26.39856761,2776.799589
 01/01  15:00:00,975.2782501,94.71476999,461.6637405,0,65.15725541,212.5458892,439.14098,370.2583851,42.48502471,26.39757026,2687.641865
 01/01  16:00:00,971.5363758,94.71476999,457.3482645,0,65.15725541,212.5458892,459.6495243,376.6062487,56.64669961,26.396576,2720.601603
 01/01  17:00:00,966.7210664,94.71476999,475.3219838,0,65.15725541,220.0431645,498.9025363,387.5370179,84.97004941,26.39546904,2819.763313
 01/01  18:00:00,946.1360393,94.71476999,491.3261184,0,54.02587722,184.3865456,518.6262038,416.1228612,84.97004941,17.53329315,2807.841758
 01/01  19:00:00,914.8470927,94.71476999,490.6099679,0,44.49376632,163.4543149,558.7915706,456.4301304,84.97004941,17.39139081,2825.703053
 01/01  20:00:00,908.0445775,94.71476999,490.5009438,0,44.49376632,155.9570395,528.9232063,463.5693701,56.64669961,8.707136595,2751.55751
 01/01  21:00:00,888.2229227,94.71476999,503.0616191,0,44.49376632,124.5586935,576.324475,502.2860521,56.64669961,17.39172337,2807.700722
 01/01  22:00:00,889.8522458,94.71476999,506.7233273,0,44.49376632,124.5586935,563.6785321,512.4862073,42.48502471,8.707300111,2787.699867
 01/01  23:00:00,875.7149943,94.71476999,503.3368374,0,34.96165543,124.5586935,576.5038997,530.7885302,28.3233498,17.39201968,2786.29475
 01/01  24:00:00,873.9618264,94.71476999,501.2853502,0,34.96165543,124.5586935,559.2249927,536.3584956,14.1616749,8.704822208,2747.932281
 01/02  01:00:00,871.1203905,94.71476999,499.714517,0,46.09303362,113.3127805,558.736513,535.6794474,5.664669961,17.39239559,2742.428518
 01/02  02:00:00,871.2616339,94.71476999,499.8904553,0,46.09303362,113.3127805,554.3861182,540.0164301,5.664669961,8.705018158,2734.04491
 01/02  03:00:00,868.6156485,94.71476999,498.3118954,0,46.09303362,113.3127805,567.3083789,544.250929,5.664669961,17.39277993,2755.664886
 01/02  04:00:00,868.6668675,94.71476999,497.6359932,0,46.09303362,113.3127805,561.4543794,547.0845339,5.664669961,8.70517554,2743.332204
 01/02  05:00:00,961.2344301,94.71476999,499.4066847,0,100.1506573,148.9693994,534.6813124,511.6245711,5.664669961,17.39207139,2873.838566
 01/02  06:00:00,962.4713139,94.71476999,499.2520782,0,100.1506573,149.8943994,1057.176418,1034.309415,14.1616749,8.705328722,3920.836056
 01/02  07:00:00,1191.215385,94.71476999,499.2019261,0,176.4710373,302.6124365,696.1681547,650.4513418,28.3233498,17.39346311,3656.551864
 01/02  08:00:00,1297.93265,94.71476999,498.6179117,0,243.2593065,310.1097119,636.2137251,576.183627,42.48502471,17.54507338,3717.0618
