Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),Sum
 01/01  01:00:00,532.0057738,94.81857558,90.68301177,0,34.96165543,113.3127805,846.9863208,823.8032728,5.664669961,17.51837799,2559.754439
 01/01  02:00:00,568.2996405,94.81857558,138.5480871,0,34.96165543,113.3127805,769.1496758,745.9651733,5.664669961,17.51983255,2488.240091
 01/01  03:00:00,574.0847441,94.81857558,144.7813732,0,34.96165543,113.3127805,807.7334941,775.7995886,5.664669961,26.26923557,2577.426117
 01/01  04:00:00,570.5046968,94.81857558,139.119589,0,34.96165543,113.3127805,844.1100514,820.9248228,5.664669961,17.52055869,2640.9374
 01/01  05:00:00,573.0934244,94.81857558,132.3380058,0,44.49376632,113.3127805,868.2910416,845.1089857,5.664669961,17.51738602,2694.638636
 01/01  06:00:00,568.7509108,94.81857558,126.3451061,0,44.49376632,113.3127805,911.5191206,871.0897178,14.1616749,26.26772791,2770.75938
 01/01  07:00:00,633.0395547,94.81857558,116.4954951,0,54.02587722,176.8892702,886.9566078,841.1150817,28.3233498,17.5181763,2849.181988
 01/01  08:00:00,642.7032057,94.81857558,118.4257755,0,54.02587722,184.3865456,895.0667184,826.3150456,42.48502471,26.26664813,2884.493416
 01/01  09:00:00,714.6537631,94.81857558,109.3816454,0,65.15725541,220.0431645,909.8874673,826.8012071,56.64669961,26.43956063,3023.829339
 01/01  10:00:00,695.7929996,94.81857558,95.90519419,0,65.15725541,212.5458892,932.6973078,854.7443021,42.48502471,35.46798103,3029.61453
 01/01  11:00:00,683.6159544,94.81857558,85.08547236,0,65.15725541,220.0431645,973.7196536,867.2013334,70.80837451,35.70994569,3096.159729
 01/01  12:00:00,676.3618869,94.81857558,80.36748278,0,65.15725541,220.0431645,974.7494103,859.2904912,70.80837451,44.65054452,3086.247186
 01/01  13:00:00,675.4072776,94.81857558,80.19702932,0,65.15725541,220.0431645,949.1878915,842.6615992,70.80837451,35.71791771,3033.999085
 01/01  14:00:00,674.6180228,94.81857558,87.07438462,0,65.15725541,212.5458892,916.8075671,815.5191367,56.64669961,44.64173082,2967.829262
 01/01  15:00:00,664.8166174,94.81857558,76.86920862,0,65.15725541,212.5458892,929.3586905,842.2242977,42.48502471,44.64936806,2972.924927
 01/01  16:00:00,660.2329669,94.81857558,62.00169056,0,65.15725541,212.5458892,971.2962182,878.9360805,56.64669961,35.71343811,3037.348814
 01/01  17:00:00,635.0755324,94.81857558,51.98020042,0,65.15725541,220.0431645,1048.595341,918.9795222,84.97004941,44.64576905,3164.26541
 01/01  18:00:00,582.59746,94.81857558,44.16146087,0,54.02587722,184.3865456,1088.911123,968.4665936,84.97004941,35.47448019,3137.812166
 01/01  19:00:00,549.1796061,94.81857558,35.0795783,0,44.49376632,163.4543149,1139.522741,1037.034252,84.97004941,17.51843999,3166.071324
 01/01  20:00:00,546.6834529,94.81857558,41.02758341,0,44.49376632,155.9570395,1062.699799,979.7861172,56.64669961,26.26698244,3008.380016
 01/01  21:00:00,516.0616713,94.81857558,43.28437821,0,44.49376632,124.5586935,1062.144027,987.9783687,56.64669961,17.51895884,2947.505139
 01/01  22:00:00,508.2041594,94.81857558,31.21568106,0,44.49376632,124.5586935,1127.398784,1067.39624,42.48502471,17.51751883,3058.088444
 01/01  23:00:00,499.0569337,94.81857558,25.2103148,0,34.96165543,124.5586935,1156.733453,1102.140421,28.3233498,26.26968196,3092.073079
 01/01  24:00:00,500.1636849,94.81857558,24.96874972,0,34.96165543,124.5586935,1124.706102,1093.023574,14.1616749,17.52085356,3028.883564
 01/02  01:00:00,496.4910616,94.81857558,20.80515353,0,46.09303362,113.3127805,1135.53133,1112.349007,5.664669961,17.51765268,3042.583264
 01/02  02:00:00,497.4518477,94.81857558,22.2020783,0,46.09303362,113.3127805,1126.438093,1094.505281,5.664669961,26.26814193,3026.754502
 01/02  03:00:00,488.3997643,94.81857558,12.66290788,0,46.09303362,113.3127805,1174.887905,1151.704786,5.664669961,17.51844844,3105.062872
 01/02  04:00:00,485.1052009,94.81857558,8.940912847,0,46.09303362,113.3127805,1189.807582,1157.875853,5.664669961,26.26705974,3127.885668
 01/02  05:00:00,574.0797876,94.81857558,10.85972803,0,100.1506573,148.9693994,1124.819573,1101.635851,5.664669961,17.51905158,3178.517294
 01/02  06:00:00,576.2882175,94.81857558,10.901235,0,100.1506573,149.8943994,1695.376219,1663.694005,14.1616749,17.5205383,4322.805522
 01/02  07:00:00,802.7472396,94.81857558,10.73941323,0,176.4710373,302.6124365,1199.523874,1144.93076,28.3233498,26.26976406,3786.436449
 01/02  08:00:00,913.5831848,94.81857558,2.992713192,0,243.2593065,310.1097119,1207.066535,1129.080964,42.48502471,35.50054672,3978.896563
 01/02  09:00:00,969.7611157,94.81857558,10.36395214,0,243.2593065,310.1097119,1157.43654,1065.007726,56.64669961,35.78211493,3943.185743
 01/02  10:00:00,1006.361686,94.81857558,17.26519772,0,243.2593065,302.6124365,1118.268788,1021.797998,42.48502471,53.98576469,3900.854778
 01/02  11:00:00,1001.65491,94.81857558,20.83446722,0,243.2593065,310.1097119,1112.387678,987.1242737,70.80837451,54.45503021,3895.452328
 01/02  12:00:00,1009.036043,94.81857558,29.7979329,0,243.2593065,310.1097119,1057.024559,922.4887014,70.80837451,63.72748351,3801.070689
 01/02  13:00:00,970.1205605,94.89353536,36.36898996,0,243.2593065,310.1097119,993.4236081,868.4244744,70.80837451,54.19075916,3641.59932
 01/02  14:00:00,998.4229428,95.02026941,32.01020749,0,243.2593065,302.6124365,1010.875582,892.0841468,56.64669961,62.14473526,3693.076326
 01/02  15:00:00,1001.716161,95.13583611,37.93857893,0,243.2593065,302.6124365,947.2574745,848.7421901,42.48502471,56.03025964,3575.177268
 01/02  16:00:00,1011.649991,95.23745923,40.61941407,0,243.2593065,302.6124365,946.3436243,835.3858489,56.64669961,54.31107577,3586.065856
 01/02  17:00:00,1022.021485,95.32941664,32.49833997,0,243.2593065,310.1097119,1010.937637,881.079706,84.97004941,44.8878821,3725.093535
 01/02  18:00:00,1020.039246,95.42088377,34.79638277,0,243.2593065,310.1097119,973.5877008,853.2726212,84.97004941,35.34503021,3650.800932
 01/02  19:00:00,757.1082508,94.81857558,29.67534017,0,166.9389264,199.1109338,992.5285656,881.1811807,84.97004941,26.37733554,3232.709158
 01/02  20:00:00,723.3441621,94.81857558,6.430604915,0,166.9389264,191.6136585,1104.303125,1030.065084,56.64669961,17.59134083,3391.752177
 01/02  21:00:00,574.2486437,94.81857558,0,0,100.1506573,124.5586935,1233.221135,1150.197009,56.64669961,26.37742634,3360.218841
 01/02  22:00:00,533.9742157,94.81857558,0,0,100.1506573,124.5586935,1144.290567,1075.523218,42.48502471,26.28232441,3142.083276
 01/02  23:00:00,466.3585184,94.81857558,0,0,46.09303362,124.5586935,1059.703768,1013.859232,28.3233498,17.52118575,2851.236357
 01/02  24:00:00,497.0840025,94.81857558,6.191857431,0,46.09303362,124.5586935,991.428088,959.7484591,14.1616749,17.51795405,2751.602339
 01/03  01:00:00,501.1446675,94.81857558,32.23440654,0,46.09303362,113.3127805,865.0364111,833.1030511,5.664669961,26.26869002,2517.676286
 01/03  02:00:00,498.8346058,94.81857558,28.06094524,0,46.09303362,113.3127805,924.3914655,901.2080347,5.664669961,17.51876076,2629.902872
 01/03  03:00:00,496.7400052,94.81857558,21.65718926,0,46.09303362,113.3127805,990.1827704,958.2505698,5.664669961,26.26753067,2752.987125
 01/03  04:00:00,489.8166112,94.81857558,12.45742051,0,46.09303362,113.3127805,1049.955458,1026.771435,5.664669961,17.51935282,2856.409337
 01/03  05:00:00,555.4549095,94.81857558,0.363396524,0,100.1506573,148.9693994,1109.757099,1086.576145,5.664669961,17.51628443,3119.271137
 01/03  06:00:00,547.718109,94.81857558,0,0,100.1506573,149.8943994,1438.424332,1397.991595,14.1616749,26.27106232,3769.430405
 01/03  07:00:00,808.5678776,95.07113569,14.17634172,0,176.4710373,302.6124365,1025.557711,979.7130571,28.3233498,17.5213046,3448.014252
 01/03  08:00:00,935.6890679,95.40524391,19.70758817,0,243.2593065,310.1097119,1000.68182,922.68502,42.48502471,35.51177574,3605.534559
 01/03  09:00:00,968.4246539,95.54505607,9.681680522,0,243.2593065,310.1097119,1075.223735,973.8457763,56.64669961,44.73125894,3777.467879
 01/03  10:00:00,976.0502981,95.65200998,0.348099377,0,243.2593065,302.6124365,1124.536189,1037.065549,42.48502471,44.98561524,3866.994528
 01/03  11:00:00,1000.883161,95.7450343,18.65724427,0,243.2593065,310.1097119,1024.520329,890.1739719,70.80837451,63.5379827,3717.695116
 01/03  12:00:00,1002.755537,95.86003418,29.64774117,0,243.2593065,310.1097119,957.1454604,831.7145244,70.80837451,54.62256152,3595.923251
 01/03  13:00:00,964.7924093,96.09451525,31.29322005,0,243.2593065,310.1097119,947.2597779,822.2653938,70.80837451,54.18600963,3540.068719
 01/03  14:00:00,1005.103321,96.33055133,39.73398408,0,243.2593065,302.6124365,896.5339619,776.1639571,56.64669961,63.72330517,3480.107523
 01/03  15:00:00,1005.807376,96.55509271,43.58684055,0,243.2593065,302.6124365,856.9107377,759.9686902,42.48502471,54.45702282,3405.642528
 01/03  16:00:00,1018.668891,96.79825163,46.96764633,0,243.2593065,302.6124365,857.2925899,746.3404029,56.64669961,54.30548744,3422.891711
 01/03  17:00:00,1035.185963,97.13625613,46.49563051,0,243.2593065,310.1097119,886.6814339,747.8421306,84.97004941,53.86925391,3505.549736
 01/03  18:00:00,1021.517966,97.44374176,21.45839732,0,243.2593065,310.1097119,996.5142779,885.0237085,84.97004941,26.52052001,3686.817679
 01/03  19:00:00,754.6897435,94.81857558,24.45371553,0,166.9389264,199.1109338,1017.914736,906.5611007,84.97004941,26.38358552,3275.841366
 01/03  20:00:00,756.7277768,94.81857558,41.00814486,0,166.9389264,191.6136585,876.7433987,793.7194771,56.64669961,26.37722204,3004.59388
